Fecha,Localidad,Latitud,Longitud,Víctima de la agresión,Candidatura ,Cargo ,Fuerza polítca del agredido(a),Presunto agresor denunciado,Fuerza politica del agresor(a) ,Tipo de agresión,Descripción,Intervención autoridades,Fuente,URL de la fuente 
29/05/2024,Matamoros,2.586.902,-9.750.273,Leticia Salazar,Presidente municipal,N/A,Fuerza y corazón por Tamaulipas,N/A,N/A,Amenazas,"Leticia Salazar, candidata de ""Fuerza y corazón por México"" a la alcaldía de Matamoros, Tamaulipas, canceló su evento de cierre de campaña por la inseguridad. ",N/A,El Norte,https://www.elnorte.com/cancela-panista-cierre-en-matamoros-por-amenazas/ar2815837
29/05/2024,Cotija,1.981.473,-10.271.499,Estrella Mendoza Méndez,Presidente municipal,N/A,Morena-PVEM-PT,N/A,N/A,Agresión armada,"Sujetos disparan armas de largo alcance en el cierre de campaña de Estrella Mendoza Méndez, candidata por Morena-PVEM-PT a la alcaldía de Cotija, Michoacán. ",N/A,Infobae,https://www.infobae.com/mexico/2024/05/29/se-desata-balacera-durante-el-cierre-de-campana-de-la-candidata-de-morena-a-la-alcaldia-de-cotija-michoacan/
29/05/2024,Tehuacán,184.665,-9.740.038,N/A,N/A,Denunciantes ,N/A,Pedro Tepole,PVEM,Agresión armada,"Se registró una balacera en Tehuacán, Puebla, De acuerdo con testigos en el inmueble donde ocurrió la agresión, presuntos colaboradores de Pedro Tepole, candidato a la alcaldía de ese municipio, por el PVEM, dispararon en contra de dos personas que intentaron grabar una supuesta compra de votos. En el lugar se recolectaron al menos 30 casquillos percutidos y se encontraron rastros de sangre. Los dos heridos fueron trasladado al hospital General de Tehuacán. ",Sí,Cambio,https://www.diariocambio.com.mx/2024/reporte-2024/elecciones-de-terror-en-tehuacan-presunta-compra-de-votos-desata-balacera-y-deja-dos-heridos/
29/05/2024,San Pedro Cholula,1.905.686,-9.830.523,N/A,N/A,N/A,N/A, Tonantzin Fernández,Morena-PT-FxM,Hackeo y propaganda ilegal ,"Paola Angón, presidenta municipal de San Pedro Cholula, Puebla, denunció la colocación de propaganda en el Palacio Municipal y el hackeo de la cuenta oficial de Facebook del gobierno local para difundir propaganda a favor de Tonantzin Fernández, candidata de Morena-PT-FxM a la alcaldía. . ",Sí,Infobae,https://www.infobae.com/mexico/2024/05/29/gobierno-de-cholula-denuncia-hackeo-de-sus-cuentas-tras-publicacion-a-favor-de-alejandro-armenta-y-sheinbaum/
29/05/2024,Ciudad Juárez,3.169.036,-10.642.454,N/A,N/A,Colaborador de candidata,Fuerza y corazón por México ,N/A,N/A,Agresión física ,"Un colaborador de Marlene Terrazas,  candidata de la coalición ""Fuerza y corazón por México"" a diputada federal por el Distrito 2, fue golpeado por sujetos armados. La candidata interpuso una denuncia ante la Fiscalía General de Chihuahua. ",Sí,NetNoticias.mx,https://netnoticias.mx/juarez/denuncia-candidata-terrazas-agresion-a-uno-de-sus-colaboradores#google_vignette
29/05/2024,Tlalnepantla ,1.953.606,-9.919.683,Emilio Manzanilla,Diputado federal ,N/A,Sigamos haciendo historia,Marco Antonio Rodríguez ,Fuerza y corazón por Edomex,Intento de homicidio y agresión física,"Emilio Manzanilla, candidato de la coalición ""Sigamos haciendo historia"", a diputado federal, presentó una denuncia por tentativa de homicidio tras ser agredido por presuntos colaboradores del candidato Marco Antonio Rodríguez Hurtado “Tony” de ""Fuerza y corazón por Edomex"", a la alcaldía de Tlalnepantla. ",Sí,Diario de México,https://www.diariodemexico.com/metropolitano/denuncian-violencia-contra-candidato-diputado
29/05/2024,Matías Romero,1.686.811,-9.504.425,Rosalinda López García,Presidente Municipal,N/A,Morena,N/A,N/A,Agresión armada ,"Sujetos abren fuego durante el cierre de campaña de Rosalinda López García, candidata de Morena a la alcaldía de Matías Romero, Oaxaca. De manera extraoficial, al menos una persona resultó herida. ",N/A,Eje Central ,https://www.ejecentral.com.mx/category/nuestro-eje/disparan-durante-mitin-de-rosalinda-lopez-candidata-de-morena-por-matias-romero-oaxaca
29/05/2024,Mineral del Chico,2.021.504,-9.873.104,Jorge Luis Pérez,N/A,Periodista,N/A,Fernando Baltazar Monzalvo,PRD,"Secuestro, agresión física y robo","l periodista Jorge Luis Pérez Cortés, director de ""Mundo Express""; fue golpeado y arrojado a un barranco, por el candidato de la coalición ""Fuerza y corazón por Hidalgo"" a la alcaldía de Mineral de Chico, Fernando Baltazar Monzalvo, quien habría sido auxiliado por un grupo de colaboradores. La agresión tuvo lugar cuando el periodista distribuía su periódico. Pérez Cortés fue retenido durante cerca de tres horas, periodo en que fue golpeado y despojado de sus equipos de trabajo y los ejemplares que llevaba consigo. ",N/A,El Universal,https://www.eluniversal.com.mx/elecciones/hidalgo-periodista-es-golpeado-y-arrojado-a-un-barranco-por-candidato-a-la-alcaldia-de-mineral-del-chico/
29/05/2024,Chichiquila,1.919.908,-9.706.754,Javier Bardomiano,Presidente Municipal ,N/A,PT y Fuerza por México,N/A,N/A,Agresión armada,"Javier Bardomiano, candidato a la alcaldía de Chichiquila, Puebla por la coalición del PT y Fuerza por México, fue víctima de un ataque armado cuando transitaba por Trincheras.",N/A,MTPNoticias,https://mtpnoticias.com/la-grilla/eleccion-2024/motociclistas-balean-a-candidato-de-fuerza-por-mexico-a-alcaldia-de-chichiquila/
29/05/2024,Xochitepec,1.879.551,-9.923.144,Freddy Méndez,N/A,Colaborador ,PT,N/A,N/A,Asesinato,"Freddy Méndez, colaborador de Rodolfo Tapia, candidato a la alcaldía de Xochitepec, Morelos, por el Partido del Trabajo (PT), fue asesinado en dicha localidad. ",N/A,Infobae,https://www.infobae.com/mexico/2024/05/29/freddy-mendez-ayudante-municipal-de-xochitepec-es-asesinado-a-balazos-cerca-de-su-domicilio/
